[M+H]+,Protonation()
[M+H-H2O]+,ProtonationNLH2O()
[M+H-2H2O]+,ProtonationNL2H2O()
[M+H-3H2O]+,ProtonationNL3H2O()
[M+2H]2+,DiProtonation()
[M+3H]3+,TriProtonation()
[M+NH4]+,AddNH4()
[M+H+NH4]+,AddHNH4()
[M+2NH4]2+,Add2NH4()
[M+Na]+,Sodization()
[M+Na+H]2+,SodizationProtonation()
[M+2Na]2+,DiSodization()
[M-H]-,Deprotonation()
[M-H-H2O]-,DeprotonationNLH2O()
[M-2H]2-,DiDeprotonation()
[M-3H]3-,TriDeprotonation()
[M+CH3COO]-,AddOAc()
[M+HCOO]-,AddHCOO()
[M-CH2O]-,LossCH2O()
[M+O]-,AddO()
[M+C2H2O]-,AddC2H2O()
[M-CH8NO]-,LossCH8NO()
[M-C2H8NO]-,LossC2H8NO()
[M+C3H5NO]-,AddC3H5NO()
[M+C2H5NO]-,AddC2H5NO()
[M-CH3]-,LossCH3()
