Compound Name,Precursor Ion,Product Ion,Ret Time (min),Delta Ret Time,Collision Energy,Polarity
Cer 16:2;O/16:0,492.478054,236.237824,6.12,1,35,Positive
Cer 17:2;O/16:0,506.493704,250.253474,6.415,1,35,Positive
"[""Cer 18:2;O2/14:0""]",508.472969,262.253474,5.5575,1,35,Positive
"[""Cer 16:1;O2/16:0""]",510.488619,236.237824,6.12,1,35,Positive
"[""Cer 18:2;O2/15:2"", ""Cer 18:2;O2/15:2""]",518.457319,262.253474,5.605,2.175,35,Positive
"[""Cer 18:1;O2/15:2""]",520.472969,264.269124,5.29,3.84,35,Positive
Cer 16:2;O/18:0,520.509354,236.237824,6.725,1,35,Positive
Cer 18:1;O/16:0,522.525004,266.284774,5.62,1,35,Positive
"[""Cer 17:1;O2/16:0"", ""Cer 17:1;O2/15:1;O""]",524.4913521,250.253474,6.4175,1,35,Positive
Cer 17:2;O/18:0,534.525004,250.253474,6.98,1,35,Positive
"[""Cer 18:2;O2/16:0"", ""Cer 18:2;O2/15:1;O""]",536.5021287,262.253474,6.19,1,35,Positive
"[""Cer 18:1;O2/16:0"", ""Cer 18:1;O2/15:1;O""]",538.5070021,264.269124,6.711666667,1.003333333,35,Positive
"[""Cer 16:1;O2/18:0"", ""Cer 16:1;O2/17:1;O""]",538.5070021,236.237824,6.725,1,35,Positive
Cer 18:0;O2/16:0,540.535569,284.295339,7.9,1,35,Positive
Cer 16:2;O/20:0,548.540654,236.237824,7.25,1,35,Positive
"[""Cer 18:0;O2/17:2""]",550.519919,284.295339,7.325,1,35,Positive
Cer 18:1;O/18:0,550.556304,266.284774,7.3175,1,35,Positive
"[""Cer 17:1;O2/18:0"", ""Cer 17:1;O2/17:1;O""]",552.5226521,250.253474,6.9775,1,35,Positive
Cer 17:2;O/20:0,562.556304,250.253474,7.51,1,35,Positive
"[""Cer 18:2;O2/18:0"", ""Cer 18:2;O2/17:1;O""]",564.5334287,262.253474,6.77,1,35,Positive
"[""Cer 18:1;O2/18:0"", ""Cer 18:1;O2/17:1;O""]",566.533984,264.269124,7.247916667,1.000833333,35,Positive
"[""Cer 16:1;O2/20:0"", ""Cer 16:1;O2/19:1;O""]",566.5383021,236.237824,7.255,1,35,Positive
Cer 18:1;O3/17:0,568.530484,280.264039,4.14,1,35,Positive
Cer 18:0;O2/18:0,568.566869,284.295339,8.39,1,35,Positive
"[""Cer 18:1;O2/19:2""]",576.535569,264.269124,7.75,1,35,Positive
"[""Cer 16:1;O2/21:2"", ""Cer 16:2;O/22:0""]",576.5366391,236.237824,7.775,1,35,Positive
"[""Cer 18:1;O/20:0""]",578.587604,266.284774,7.805,1,35,Positive
Cer 17:2;O/22:0,590.587604,250.253474,8.02,1,35,Positive
Cer 16:2;O/23:0,590.587604,236.237824,8.025,1,35,Positive
"[""Cer 18:2;O2/20:0"", ""Cer 18:2;O2/19:1;O""]",592.5647287,262.253474,7.3025,1,35,Positive
Cer 18:0;O3/19:2,594.546134,282.279689,7.76,1,35,Positive
"[""Cer 18:1;O2/20:0"", ""Cer 18:1;O2/19:1;O""]",594.5803787,264.269124,7.758333333,1.003333333,35,Positive
"[""Cer 16:1;O2/22:0"", ""Cer 16:1;O2/21:1;O""]",594.5803787,236.237824,7.7775,1,35,Positive
"[""Cer 18:2;O2/21:2""]",602.551219,262.253474,7.81,1,35,Positive
"[""Cer 18:1;O2/21:2""]",604.566869,264.269124,8.25,1,35,Positive
"[""Cer 16:1;O2/23:2"", ""Cer 16:2;O/24:0""]",604.5839245,236.237824,8.28,1,35,Positive
"[""Cer 17:2;O/23:0"", ""Cer 17:1;O2/22:2""]",604.6009799,250.253474,8.25625,1,35,Positive
Cer 19:2;O/21:0,604.603254,278.284774,8.16,1,35,Positive
Cer 18:1;O/22:1,604.603254,266.284774,9.945,1,35,Positive
"[""Cer 18:0;O2/21:2""]",606.582519,284.295339,8.3,1,35,Positive
"[""Cer 18:1;O/22:0""]",606.618904,266.284774,6.925,3.75,35,Positive
"[""Cer 16:1;O2/22:1;O"", ""Cer 16:1;O2/23:0""]",608.563699,236.237824,8.0275,1,35,Positive
"[""Cer 17:1;O2/22:0"", ""Cer 17:1;O2/21:1;O""]",608.5852521,250.253474,8.02,1,35,Positive
"[""Cer 18:1;O2/21:0"", ""Cer 18:1;O2/20:1;O""]",608.5960287,264.269124,7.9975,1,35,Positive
