Compound Name,Precursor Ion,Product Ion,Ret Time (min),Delta Ret Time,Collision Energy,Polarity
Cer 16:2;O/16:0,492.47805400000004,236.237824,6.12,1.0,35,Positive
Cer 17:2;O/16:0,506.49370400000004,250.253474,6.415,1.0,35,Positive
"[""Cer 18:2;O2/14:0""]",508.47296900000003,262.25347400000004,5.5575,1.0,35,Positive
"[""Cer 16:1;O2/16:0""]",510.488619,236.23782400000005,6.12,1.0,35,Positive
"[""Cer 18:2;O2/15:2"", ""Cer 18:2;O2/15:2""]",518.4573190000001,262.25347400000004,5.605,2.1750000000000007,35,Positive
"[""Cer 18:1;O2/15:2""]",520.472969,264.26912400000003,5.29,3.8400000000000016,35,Positive
Cer 16:2;O/18:0,520.509354,236.237824,6.725,1.0,35,Positive
Cer 18:1;O/16:0,522.5250040000001,266.284774,5.62,1.0,35,Positive
"[""Cer 17:1;O2/16:0"", ""Cer 17:1;O2/15:1;O""]",524.4913521372549,250.253474,6.4175,1.0,35,Positive
Cer 17:2;O/18:0,534.5250040000001,250.253474,6.98,1.0,35,Positive
"[""Cer 18:2;O2/16:0"", ""Cer 18:2;O2/15:1;O""]",536.5021287058823,262.25347400000004,6.19,1.0,35,Positive
"[""Cer 18:1;O2/16:0"", ""Cer 18:1;O2/15:1;O""]",538.507002137255,264.26912400000003,6.711666666666667,1.0033333333333339,35,Positive
"[""Cer 16:1;O2/18:0"", ""Cer 16:1;O2/17:1;O""]",538.507002137255,236.23782400000005,6.725,1.0,35,Positive
Cer 18:0;O2/16:0,540.535569,284.295339,7.9,1.0,35,Positive
Cer 16:2;O/20:0,548.540654,236.237824,7.25,1.0,35,Positive
"[""Cer 18:0;O2/17:2""]",550.5199190000001,284.295339,7.325,1.0,35,Positive
Cer 18:1;O/18:0,550.556304,266.284774,7.317500000000001,1.0,35,Positive
"[""Cer 17:1;O2/18:0"", ""Cer 17:1;O2/17:1;O""]",552.5226521372549,250.253474,6.9775,1.0,35,Positive
Cer 17:2;O/20:0,562.556304,250.253474,7.51,1.0,35,Positive
