id,mz,height,intensity_range:min,intensity_range:max,rt,rt_range:min,rt_range:max,area,mz_range:min,mz_range:max,charge,datafile:PreIS__1100_1500_d171-r001.mzML:mz,datafile:PreIS__1100_1500_d171-r001.mzML:feature_state,datafile:PreIS__1100_1500_d171-r001.mzML:area,datafile:PreIS__1100_1500_d171-r001.mzML:mz_range:min,datafile:PreIS__1100_1500_d171-r001.mzML:mz_range:max,datafile:PreIS__1100_1500_d171-r001.mzML:fwhm,datafile:PreIS__1100_1500_d171-r001.mzML:tailing_factor,datafile:PreIS__1100_1500_d171-r001.mzML:height,datafile:PreIS__1100_1500_d171-r001.mzML:intensity_range:min,datafile:PreIS__1100_1500_d171-r001.mzML:intensity_range:max,datafile:PreIS__1100_1500_d171-r001.mzML:rt,datafile:PreIS__1100_1500_d171-r001.mzML:rt_range:min,datafile:PreIS__1100_1500_d171-r001.mzML:rt_range:max,datafile:PreIS__1100_1500_d171-r001.mzML:asymmetry_factor,datafile:PreIS__1100_1500_d171-r001.mzML:isotopes,datafile:PreIS__1100_1500_d171-r001.mzML:charge,datafile:PreIS__1100_1500_d171-r002.mzML:mz,datafile:PreIS__1100_1500_d171-r002.mzML:feature_state,datafile:PreIS__1100_1500_d171-r002.mzML:area,datafile:PreIS__1100_1500_d171-r002.mzML:mz_range:min,datafile:PreIS__1100_1500_d171-r002.mzML:mz_range:max,datafile:PreIS__1100_1500_d171-r002.mzML:fwhm,datafile:PreIS__1100_1500_d171-r002.mzML:tailing_factor,datafile:PreIS__1100_1500_d171-r002.mzML:height,datafile:PreIS__1100_1500_d171-r002.mzML:intensity_range:min,datafile:PreIS__1100_1500_d171-r002.mzML:intensity_range:max,datafile:PreIS__1100_1500_d171-r002.mzML:rt,datafile:PreIS__1100_1500_d171-r002.mzML:rt_range:min,datafile:PreIS__1100_1500_d171-r002.mzML:rt_range:max,datafile:PreIS__1100_1500_d171-r002.mzML:asymmetry_factor,datafile:PreIS__1100_1500_d171-r002.mzML:isotopes,datafile:PreIS__1100_1500_d171-r002.mzML:charge,datafile:PreIS__750_1150_d171-r001.mzML:mz,datafile:PreIS__750_1150_d171-r001.mzML:feature_state,datafile:PreIS__750_1150_d171-r001.mzML:area,datafile:PreIS__750_1150_d171-r001.mzML:mz_range:min,datafile:PreIS__750_1150_d171-r001.mzML:mz_range:max,datafile:PreIS__750_1150_d171-r001.mzML:fwhm,datafile:PreIS__750_1150_d171-r001.mzML:tailing_factor,datafile:PreIS__750_1150_d171-r001.mzML:height,datafile:PreIS__750_1150_d171-r001.mzML:intensity_range:min,datafile:PreIS__750_1150_d171-r001.mzML:intensity_range:max,datafile:PreIS__750_1150_d171-r001.mzML:rt,datafile:PreIS__750_1150_d171-r001.mzML:rt_range:min,datafile:PreIS__750_1150_d171-r001.mzML:rt_range:max,datafile:PreIS__750_1150_d171-r001.mzML:asymmetry_factor,datafile:PreIS__750_1150_d171-r001.mzML:isotopes,datafile:PreIS__750_1150_d171-r001.mzML:charge,datafile:PreIS__400_800_d171-r002.mzML:mz,datafile:PreIS__400_800_d171-r002.mzML:feature_state,datafile:PreIS__400_800_d171-r002.mzML:area,datafile:PreIS__400_800_d171-r002.mzML:mz_range:min,datafile:PreIS__400_800_d171-r002.mzML:mz_range:max,datafile:PreIS__400_800_d171-r002.mzML:fwhm,datafile:PreIS__400_800_d171-r002.mzML:tailing_factor,datafile:PreIS__400_800_d171-r002.mzML:height,datafile:PreIS__400_800_d171-r002.mzML:intensity_range:min,datafile:PreIS__400_800_d171-r002.mzML:intensity_range:max,datafile:PreIS__400_800_d171-r002.mzML:rt,datafile:PreIS__400_800_d171-r002.mzML:rt_range:min,datafile:PreIS__400_800_d171-r002.mzML:rt_range:max,datafile:PreIS__400_800_d171-r002.mzML:asymmetry_factor,datafile:PreIS__400_800_d171-r002.mzML:isotopes,datafile:PreIS__400_800_d171-r002.mzML:charge,datafile:PreIS__750_1150_d171-r002.mzML:mz,datafile:PreIS__750_1150_d171-r002.mzML:feature_state,datafile:PreIS__750_1150_d171-r002.mzML:area,datafile:PreIS__750_1150_d171-r002.mzML:mz_range:min,datafile:PreIS__750_1150_d171-r002.mzML:mz_range:max,datafile:PreIS__750_1150_d171-r002.mzML:fwhm,datafile:PreIS__750_1150_d171-r002.mzML:tailing_factor,datafile:PreIS__750_1150_d171-r002.mzML:height,datafile:PreIS__750_1150_d171-r002.mzML:intensity_range:min,datafile:PreIS__750_1150_d171-r002.mzML:intensity_range:max,datafile:PreIS__750_1150_d171-r002.mzML:rt,datafile:PreIS__750_1150_d171-r002.mzML:rt_range:min,datafile:PreIS__750_1150_d171-r002.mzML:rt_range:max,datafile:PreIS__750_1150_d171-r002.mzML:asymmetry_factor,datafile:PreIS__750_1150_d171-r002.mzML:isotopes,datafile:PreIS__750_1150_d171-r002.mzML:charge,datafile:PreIS__400_800_d171-r001.mzML:mz,datafile:PreIS__400_800_d171-r001.mzML:feature_state,datafile:PreIS__400_800_d171-r001.mzML:area,datafile:PreIS__400_800_d171-r001.mzML:mz_range:min,datafile:PreIS__400_800_d171-r001.mzML:mz_range:max,datafile:PreIS__400_800_d171-r001.mzML:fwhm,datafile:PreIS__400_800_d171-r001.mzML:tailing_factor,datafile:PreIS__400_800_d171-r001.mzML:height,datafile:PreIS__400_800_d171-r001.mzML:intensity_range:min,datafile:PreIS__400_800_d171-r001.mzML:intensity_range:max,datafile:PreIS__400_800_d171-r001.mzML:rt,datafile:PreIS__400_800_d171-r001.mzML:rt_range:min,datafile:PreIS__400_800_d171-r001.mzML:rt_range:max,datafile:PreIS__400_800_d171-r001.mzML:asymmetry_factor,datafile:PreIS__400_800_d171-r001.mzML:isotopes,datafile:PreIS__400_800_d171-r001.mzML:charge
1,1152.8283,1.0E3,3.8E2,1.0E3,3.09,3.05,3.14,6.0E1,1152.8172,1152.8420,,1152.8283,DETECTED,6.0E1,1152.8172,1152.8420,0.06,1.17,1.0E3,3.8E2,1.0E3,3.09,3.05,3.14,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
2,1139.8658,2.5E3,1.7E2,2.5E3,3.42,3.35,3.47,1.5E2,1139.6837,1139.9000,,1139.8658,DETECTED,1.5E2,1139.6837,1139.9000,0.06,0.98,2.5E3,1.7E2,2.5E3,3.42,3.35,3.47,1.07,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
3,1170.2000,1.2E3,1.2E2,1.2E3,4.25,4.20,4.30,6.7E1,1170.1999,1170.3250,,1170.2000,DETECTED,6.7E1,1170.1999,1170.3250,0.07,1.00,1.2E3,1.2E2,1.2E3,4.25,4.20,4.30,0.94,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
4,1167.9926,1.0E3,1.3E2,1.0E3,4.30,4.21,4.37,8.5E1,1167.7957,1168.0632,,1167.9926,DETECTED,8.5E1,1167.7957,1168.0632,0.08,0.86,1.0E3,1.3E2,1.0E3,4.30,4.21,4.37,0.82,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
5,1195.5464,5.6E2,5.4E1,5.6E2,4.94,4.86,4.99,3.9E1,1195.4834,1195.7812,,1195.5464,DETECTED,3.9E1,1195.4834,1195.7812,0.06,0.88,5.6E2,5.4E1,5.6E2,4.94,4.86,4.99,0.80,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
6,1248.0991,1.4E3,4.7E2,1.4E3,4.99,4.95,5.04,7.9E1,1247.9795,1248.0992,,1248.0991,DETECTED,7.9E1,1247.9795,1248.0992,0.06,1.17,1.4E3,4.7E2,1.4E3,4.99,4.95,5.04,1.33,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
7,1277.9006,1.7E3,4.9E2,1.7E3,5.16,5.11,5.20,9.8E1,1277.9004,1277.9006,,1277.9006,DETECTED,9.8E1,1277.9004,1277.9006,0.06,0.88,1.7E3,4.9E2,1.7E3,5.16,5.11,5.20,0.75,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
8,1261.8212,8.5E2,2.4E2,8.5E2,5.25,5.18,5.30,5.8E1,1261.5951,1261.9143,,1261.8212,DETECTED,5.8E1,1261.5951,1261.9143,0.06,0.90,8.5E2,2.4E2,8.5E2,5.25,5.18,5.30,0.80,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
9,1235.9631,3.1E3,7.9E1,3.1E3,5.28,5.20,5.33,1.8E2,1235.6000,1236.0180,,1235.9631,DETECTED,1.8E2,1235.6000,1236.0180,0.06,0.82,3.1E3,7.9E1,3.1E3,5.28,5.20,5.33,0.71,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
10,1265.4948,6.1E2,5.1E1,6.1E2,5.38,5.33,5.43,3.6E1,1265.4000,1265.5000,,1265.4948,DETECTED,3.6E1,1265.4000,1265.5000,0.06,1.15,6.1E2,5.1E1,6.1E2,5.38,5.33,5.43,1.35,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
11,1266.1373,7.8E2,7.9E1,7.8E2,5.38,5.24,5.42,6.6E1,1266.0003,1266.3000,,1266.1373,DETECTED,6.6E1,1266.0003,1266.3000,0.20,0.64,7.8E2,7.9E1,7.8E2,5.38,5.24,5.42,0.75,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,
