id,fragment_scans,mz_range:min,mz_range:max,rt,area,rt_range:min,rt_range:max,charge,height,intensity_range:min,intensity_range:max,mz,datafile:PreIS__400_800_d201-r001.mzML:mz_range:min,datafile:PreIS__400_800_d201-r001.mzML:mz_range:max,datafile:PreIS__400_800_d201-r001.mzML:area,datafile:PreIS__400_800_d201-r001.mzML:fwhm,datafile:PreIS__400_800_d201-r001.mzML:height,datafile:PreIS__400_800_d201-r001.mzML:mz,datafile:PreIS__400_800_d201-r001.mzML:feature_state,datafile:PreIS__400_800_d201-r001.mzML:fragment_scans,datafile:PreIS__400_800_d201-r001.mzML:rt,datafile:PreIS__400_800_d201-r001.mzML:asymmetry_factor,datafile:PreIS__400_800_d201-r001.mzML:rt_range:min,datafile:PreIS__400_800_d201-r001.mzML:rt_range:max,datafile:PreIS__400_800_d201-r001.mzML:intensity_range:min,datafile:PreIS__400_800_d201-r001.mzML:intensity_range:max,datafile:PreIS__400_800_d201-r001.mzML:tailing_factor,datafile:PreIS__400_800_d201-r001.mzML:charge,datafile:PreIS__400_800_d201-r001.mzML:isotopes,datafile:PreIS__400_800_d201-r002.mzML:mz_range:min,datafile:PreIS__400_800_d201-r002.mzML:mz_range:max,datafile:PreIS__400_800_d201-r002.mzML:area,datafile:PreIS__400_800_d201-r002.mzML:fwhm,datafile:PreIS__400_800_d201-r002.mzML:height,datafile:PreIS__400_800_d201-r002.mzML:mz,datafile:PreIS__400_800_d201-r002.mzML:feature_state,datafile:PreIS__400_800_d201-r002.mzML:fragment_scans,datafile:PreIS__400_800_d201-r002.mzML:rt,datafile:PreIS__400_800_d201-r002.mzML:asymmetry_factor,datafile:PreIS__400_800_d201-r002.mzML:rt_range:min,datafile:PreIS__400_800_d201-r002.mzML:rt_range:max,datafile:PreIS__400_800_d201-r002.mzML:intensity_range:min,datafile:PreIS__400_800_d201-r002.mzML:intensity_range:max,datafile:PreIS__400_800_d201-r002.mzML:tailing_factor,datafile:PreIS__400_800_d201-r002.mzML:charge,datafile:PreIS__400_800_d201-r002.mzML:isotopes,datafile:PreIS__750_1150_d201-r002.mzML:mz_range:min,datafile:PreIS__750_1150_d201-r002.mzML:mz_range:max,datafile:PreIS__750_1150_d201-r002.mzML:area,datafile:PreIS__750_1150_d201-r002.mzML:fwhm,datafile:PreIS__750_1150_d201-r002.mzML:height,datafile:PreIS__750_1150_d201-r002.mzML:mz,datafile:PreIS__750_1150_d201-r002.mzML:feature_state,datafile:PreIS__750_1150_d201-r002.mzML:fragment_scans,datafile:PreIS__750_1150_d201-r002.mzML:rt,datafile:PreIS__750_1150_d201-r002.mzML:asymmetry_factor,datafile:PreIS__750_1150_d201-r002.mzML:rt_range:min,datafile:PreIS__750_1150_d201-r002.mzML:rt_range:max,datafile:PreIS__750_1150_d201-r002.mzML:intensity_range:min,datafile:PreIS__750_1150_d201-r002.mzML:intensity_range:max,datafile:PreIS__750_1150_d201-r002.mzML:tailing_factor,datafile:PreIS__750_1150_d201-r002.mzML:charge,datafile:PreIS__750_1150_d201-r002.mzML:isotopes,datafile:PreIS__750_1150_d201-r001.mzML:mz_range:min,datafile:PreIS__750_1150_d201-r001.mzML:mz_range:max,datafile:PreIS__750_1150_d201-r001.mzML:area,datafile:PreIS__750_1150_d201-r001.mzML:fwhm,datafile:PreIS__750_1150_d201-r001.mzML:height,datafile:PreIS__750_1150_d201-r001.mzML:mz,datafile:PreIS__750_1150_d201-r001.mzML:feature_state,datafile:PreIS__750_1150_d201-r001.mzML:fragment_scans,datafile:PreIS__750_1150_d201-r001.mzML:rt,datafile:PreIS__750_1150_d201-r001.mzML:asymmetry_factor,datafile:PreIS__750_1150_d201-r001.mzML:rt_range:min,datafile:PreIS__750_1150_d201-r001.mzML:rt_range:max,datafile:PreIS__750_1150_d201-r001.mzML:intensity_range:min,datafile:PreIS__750_1150_d201-r001.mzML:intensity_range:max,datafile:PreIS__750_1150_d201-r001.mzML:tailing_factor,datafile:PreIS__750_1150_d201-r001.mzML:charge,datafile:PreIS__750_1150_d201-r001.mzML:isotopes,datafile:PreIS__1100_1500_d201-r001.mzML:mz_range:min,datafile:PreIS__1100_1500_d201-r001.mzML:mz_range:max,datafile:PreIS__1100_1500_d201-r001.mzML:area,datafile:PreIS__1100_1500_d201-r001.mzML:fwhm,datafile:PreIS__1100_1500_d201-r001.mzML:height,datafile:PreIS__1100_1500_d201-r001.mzML:mz,datafile:PreIS__1100_1500_d201-r001.mzML:feature_state,datafile:PreIS__1100_1500_d201-r001.mzML:fragment_scans,datafile:PreIS__1100_1500_d201-r001.mzML:rt,datafile:PreIS__1100_1500_d201-r001.mzML:asymmetry_factor,datafile:PreIS__1100_1500_d201-r001.mzML:rt_range:min,datafile:PreIS__1100_1500_d201-r001.mzML:rt_range:max,datafile:PreIS__1100_1500_d201-r001.mzML:intensity_range:min,datafile:PreIS__1100_1500_d201-r001.mzML:intensity_range:max,datafile:PreIS__1100_1500_d201-r001.mzML:tailing_factor,datafile:PreIS__1100_1500_d201-r001.mzML:charge,datafile:PreIS__1100_1500_d201-r001.mzML:isotopes,datafile:PreIS__1100_1500_d201-r002.mzML:mz_range:min,datafile:PreIS__1100_1500_d201-r002.mzML:mz_range:max,datafile:PreIS__1100_1500_d201-r002.mzML:area,datafile:PreIS__1100_1500_d201-r002.mzML:fwhm,datafile:PreIS__1100_1500_d201-r002.mzML:height,datafile:PreIS__1100_1500_d201-r002.mzML:mz,datafile:PreIS__1100_1500_d201-r002.mzML:feature_state,datafile:PreIS__1100_1500_d201-r002.mzML:fragment_scans,datafile:PreIS__1100_1500_d201-r002.mzML:rt,datafile:PreIS__1100_1500_d201-r002.mzML:asymmetry_factor,datafile:PreIS__1100_1500_d201-r002.mzML:rt_range:min,datafile:PreIS__1100_1500_d201-r002.mzML:rt_range:max,datafile:PreIS__1100_1500_d201-r002.mzML:intensity_range:min,datafile:PreIS__1100_1500_d201-r002.mzML:intensity_range:max,datafile:PreIS__1100_1500_d201-r002.mzML:tailing_factor,datafile:PreIS__1100_1500_d201-r002.mzML:charge,datafile:PreIS__1100_1500_d201-r002.mzML:isotopes
1,0,784.4001,784.4009,0.65,7.2E1,0.60,0.69,,1.2E3,4.8E2,1.2E3,784.4005,784.4001,784.4009,7.2E1,0.06,1.2E3,784.4005,DETECTED,0,0.65,0.75,0.60,0.69,4.8E2,1.2E3,0.88,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,
2,0,468.0000,468.6013,1.40,1.2E1,1.35,2.23,,1.6E2,5.1E1,1.6E2,468.4992,468.0000,468.6013,1.2E1,0.07,1.6E2,468.4992,DETECTED,0,1.40,16.00,1.35,2.23,5.1E1,1.6E2,8.50,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,
3,0,502.8000,503.3000,1.43,4.9E1,0.56,1.96,,7.4E2,5.1E1,7.4E2,503.1790,502.8000,503.3000,4.9E1,0.06,7.4E2,503.1790,DETECTED,0,1.43,0.83,0.56,1.96,5.1E1,7.4E2,0.82,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,
4,0,464.0000,464.5030,1.52,3.1E2,1.47,6.76,,4.0E3,5.0E1,4.0E3,464.1826,464.0000,464.5030,3.1E2,0.07,4.0E3,464.1826,DETECTED,0,1.52,2.13,1.47,6.76,5.0E1,4.0E3,1.78,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,
5,0,469.6000,470.8000,2.15,9.0E1,2.10,10.00,,1.4E3,5.0E1,1.4E3,470.1365,469.6000,470.8000,9.0E1,0.06,1.4E3,470.1365,DETECTED,0,2.15,0.99,2.10,10.00,5.0E1,1.4E3,1.21,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,
6,0,420.4000,421.0000,2.59,2.1E1,0.36,3.79,,1.7E2,5.0E1,1.7E2,420.9202,420.4000,421.0000,2.1E1,0.07,1.7E2,420.9202,DETECTED,0,2.59,0.53,0.36,3.79,5.0E1,1.7E2,0.77,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,
7,0,610.9000,611.2000,2.74,1.2E1,2.70,9.99,,1.8E2,5.1E1,1.8E2,611.1821,610.9000,611.2000,1.2E1,0.07,1.8E2,611.1821,DETECTED,0,2.74,186.34,2.70,9.99,5.1E1,1.8E2,93.67,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,
8,0,407.8000,408.3000,3.42,6.4E1,3.37,6.94,,1.0E3,5.0E1,1.0E3,408.1804,407.8000,408.3000,6.4E1,0.06,1.0E3,408.1804,DETECTED,0,3.42,91.49,3.37,6.94,5.0E1,1.0E3,10.95,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,
9,0,559.1000,559.4001,3.76,3.4E1,3.71,9.95,,5.2E2,5.0E1,5.2E2,559.3779,559.1000,559.4001,3.4E1,0.06,5.2E2,559.3779,DETECTED,0,3.76,117.94,3.71,9.95,5.0E1,5.2E2,59.30,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,
10,0,568.5015,569.2000,4.13,6.6E1,4.07,4.20,,1.1E3,5.9E1,1.1E3,568.9957,568.5015,569.2000,6.6E1,0.06,1.1E3,568.9957,DETECTED,0,4.13,1.27,4.07,4.20,5.9E1,1.1E3,1.18,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,
11,0,567.2992,567.3010,4.22,1.8E1,4.18,4.27,,3.1E2,9.4E1,3.1E2,567.3004,567.2992,567.3010,1.8E1,0.06,3.1E2,567.3004,DETECTED,0,4.22,1.33,4.18,4.27,9.4E1,3.1E2,1.17,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,
12,0,523.7973,523.7994,4.57,1.3E1,4.53,4.62,,2.2E2,8.8E1,2.2E2,523.7982,523.7973,523.7994,1.3E1,0.07,2.2E2,523.7982,DETECTED,0,4.57,1.33,4.53,4.62,8.8E1,2.2E2,1.17,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,
